30784590,30692680,30659290,30609404,30445657,1264230,1113041,5425661,5724688,5582959
30864334,30592451,30275053,30240647,29777175,10014315,10011709,3872519,6706255,5089140
30474576,30449211,30345364,30179987,29580902,13534298,13425430,12990522,14907503,14861110
30926926,30926925,30926924,30926922,30922499,20996781,19873382,18741625,16744786,20891193
30920417,30917518,30897527,30897179,30890620,21379958,21379949,21379938,21372959,21372866
5457638,5570771,5570780,16592017,4509649,29118206,29190358,29255778,29930110,30545854
30894395,30188541,29610250,29474918,29423234,8756646,7726173,7913883,8136842,7506603
30922461,30917804,30903564,30895787,30892738,1368750,2371972,2560594,2789738,2766066
30854722,30846484,30845981,30626636,30519676,5689503,6066721,5921379,5838400,13084255
30735129,30225343,30191425,29597197,28247015,21307056,18628294,17991292,17947320,9040042
30724261,30409642,30242936,30055435,29908446,8079737,7511137,8343277,1745918,16664890
30914511,30659188,29959346,29859085,29774858,935247,4132765,4992408,5414930,4979525
30856613,28689370,28034351,26315828,21030160,2348958,6702971,7105735,7035460,1171673
30872237,30664273,30513724,30224652,30014848,10731132,10731134,10581034,9847238,7906415
30926852,30926491,30925992,30925194,30925118,13231192,20283073,17104818,21031891,21031875
29773677,29554099,29325522,28610618,28350385,1619366,1611868,1569370,2052090,2188686
30928653,30891863,30846474,30830396,30691708,6850144,7311872,7248561,7248560,7214054
28275956,27694391,26505614,15251069,10835600,6528998,6466773,6742429,13805995,13449371
28609229,27575953,26042762,24667040,24040834,225101,357434,340459,340458,340457
30778087,30699870,30603797,30531653,30431293,6193062,6168574,232487,571412,730277
30879167,30862659,30852185,30842308,30832630,20242920,19991283,17856943,16577536,21379478
30923040,30837567,30478097,30478095,30429608,2506560,3365248,3132203,3674400,3779697
30339633,28067713,25710421,24919177,24080131,4060567,7379123,412833,791372,820684
30927043,30926791,30925871,30915493,30910026,18148946,18127701,15409300,21065619,21023268
30778196,27918567,27244377,27082371,27006089,926954,408650,979484,4217059,13586729
23404370,22521665,17974005,17696195,16940977,9126902,7553651,7717450,7767486,8137236
21455490,21293372,21270892,20966253,20489017,11237014,11237011,11157790,10738668,10391214
28168274,26283309,27424191,27129864,27035062,11130714,10962990,10784281,10655503,8889549
30311266,30026804,29936130,29856123,28864551,6893989,6893051,5157368,4162039,4221922
30889022,30878373,30770879,30629992,29895339,24170010,7766333,8119749,6299660,12336179
30902869,30781698,30568658,30415127,30368040,1312140,3237247,3504447,3857806,6811981
30096302,30053901,29625053,29625052,29625049,11494768,11237011,11157790,9750196,9521921
30902578,30857560,30842212,30632250,30598455,2265608,2575066,3678820,6392851,6297748
30792401,30791106,30320429,29657180,28946846,7837392,7837387,7894491,7827164,1693529
30788456,30304494,30266789,30177229,30154102,8609628,2726796,2960378,3448608,7326392
30877103,30833417,30744412,30705421,30617194,10668963,10668960,8849440,9063638,14425247
30924540,30924539,30918891,30913092,30871224,19971914,19971896,19971879,16992870,17856195
23594743,21490962,19325880,18477386,17943131,6350972,6302707,6260403,6247112,755388
30921102,30912126,30911048,30905472,30889373,17231783,17231780,17231777,17231675,20750607
30921272,30902551,30890493,30890492,30890491,14101961,13959157,14015502,14008439,13061454
15921143,8114212,8239852,1951806,1853861,3190261,2957397,2956294,4078095,6367669
27044459,24687478,22753198,16509285,15198273,2053908,2396332,3212846,4687834,4661297
30728404,30688400,28912378,28827708,28461402,11729165,11361330,11277441,19281376,8552036
30701077,30607981,30253119,30071306,29881121,12468126,12387852,12207002,11934736,11788634
28818445,21283829,20600807,20416506,20380691,6203096,6306587,7133994,1213674,14404720
30928021,30924967,30924297,30924134,30919880,20756862,20754607,20753813,20751482,30434084
30920222,30916311,30885009,30882682,30868805,14207227,13849378,13345802,13328118,16654441
30481831,30411598,29088705,28934964,28384336,2398009,2354048,2340149,3221254,1156720
30867456,30475855,30265702,29945178,29850621,12547909,12142439,11948594,11125101,10568754
29636096,29504913,28778154,26393794,26161537,8808573,7922689,5509291,14236963,14003908
30909870,30880156,30880041,30809187,30806469,14048412,13956846,13956845,13429770,13136171
30836076,30700871,30698640,30668635,30647110,14784824,18124447,18885184,17647974,30330878
30872971,30565092,30558353,30517796,30517793,14941824,14930176,14772731,19970473,19990145
30785314,30307741,30010385,29896978,29705456,5570368,5449614,14442915,13360300,21407503
30845982,30637004,1339803,30928954,30926777,18134348,18117962,18938432,18902412,18902411
30213880,29624377,15489334,15489320,12477932,4859177,4776997,4542931,4704702,5132403
30875938,30439956,30417113,30379134,30355749,16161146,16045478,15943967,15659098,14121659
30698752,30581286,28138850,25424553,22102577,2564664,2563586,2902571,2901068,2895913
30926139,30907453,30844082,30246120,30243819,2099718,3202581,2958840,3600485,3477719
29453291,27047762,24817670,24123261,23824657,2247076,2162476,2170811,2909529,3221863
30784590,30669388,30455444,30275530,30226838,13818817,13493338,13463272,13295553,14372983
30917344,30912775,30905312,30902503,30888153,6224662,6224653,7338149,6455267,7227122
23534382,22995636,22620680,22360692,22214747,6466719,6331853,6830890,7074161,7191331
30674655,30298651,29761043,28463984,27022768,7678659,2071936,1999496,2001227,2332972
27072794,24000942,19706180,19654113,17510325,14980218,12149135,10977085,10731132,9521932
30921535,30826122,30809816,30439455,30423352,14209033,14014830,13930982,14465901,14465900
30701084,29246971,29019350,28760345,28466843,12973360,12899730,11432817,10393112,10052458
27646542,24586521,23691516,12147455,11601685,5295722,13173027,13043099,13023594,30495794
30690522,30533761,30403025,30075815,29853263,4445438,4718013,4559045,4555179,13394881
30867611,30849376,30849323,30735661,30712874,2884728,3470801,2876423,3752091,2884068
30927611,30924134,30923243,30921127,30919157,30163100,29638605,20745358,20745327,30491266
30890632,30875028,30867156,30853888,30823441,17856542,17866941,17866380,17865859,17865784
30851431,30661756,30651371,30635271,30559433,13476960,13321211,13184683,13097994,14917969
30894680,30872493,30833764,30736069,30735633,10043583,3753762,4370560,4370023,4812038
30375276,30136037,30008075,29903773,29624942,12500486,11578293,9849319,1582263,14072027
18091988,18072598,16952911,16235556,16204196,10984453,9931339,8976060,8825759,8069416
30933983,30933671,30930099,30924380,30913208,17783533,17819334,17817247,17815970,30494490
27789023,23514125,29758783,21502420,20854096,3919393,6591177,6986389,377581,22399
30069064,28609482,27899644,27643465,27271295,7659016,8001908,8406411,1357691,1685753
30777925,30737146,30635745,30605687,30257204,9976484,10011123,10053270,10004256,10044155
30659503,30341961,30328199,29803338,29101024,6337257,7050346,6946226,6938498,4135212
29967967,29471711,29214968,28272539,27649827,11691856,11483579,11015564,10735275,14825243
29727481,29271913,28017738,26445184,26061457,7480898,1924902,2392579,533333,1145397
30928302,30895423,30820864,30789005,30728542,17808411,17842591,17842546,17732508,30493732
30793898,30352331,30301924,29771377,29100409,9665479,9582532,8972753,8763264,2039195
30926973,30820047,30721968,30698716,30679814,9897026,19724441,1101393,5523599,13478613
11913724,11840487,11346797,11035790,10973253,8896568,8696331,8826440,7633441,7987295
